success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,58,113285,0.0-16.0-0.8,H_a97w8r2xm921u6y,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,59,114001,0.0-16.0-1.8,H_a97w8r2xm921u6y,713.8399999821559,"<div style = ""margin-top:-80px ; margin-left:-377px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Blue</p>",arrowright,,,,,,,,test trial,Con,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,60,115012,0.0-17.0,H_a97w8r2xm921u6y,1009.4050000188872,"<div style=""width: 800px;""><p>Well done!!.</p> <p>Press any key to move to Task-2 ..</p></div>",arrowright,,,,,,,,,,,,,
,html-button-response,61,117386,0.0-18.0,H_a97w8r2xm921u6y,2372.4399999482557,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #fff1f1""><p style=""font-size:20px"">Welcome to the Task 2:</p><h1>Continuous Performance Task</h1>",0,,,,,,,,,,,,,
,html-button-response,62,118497,0.0-19.0,H_a97w8r2xm921u6y,1109.5399999758229,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px""><p>This task will test your ability to hold information in short-term, temporary memory.</p><p>This is called working memory.</p></div>",0,,,,,,,,,,,,,
,html-button-response,63,120330,0.0-20.0,H_a97w8r2xm921u6y,1831.6199999535456,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px"">
        	<ol>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You will see a sequence of letters presented one at a time. Your task is to determine if the letter on the screen is the same that appeared on the last screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">If the letter is a match <span style=""font-weight: bold;"">press the M key.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">For example, if you saw the sequence X, C, C, B, B, X you would press the M key when the second C appeared and similarly when the second B appeared on the screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You do not need to press any key when there is not a match.</li>
        	</ol></div>",0,,,,,,,,,,,,,
,html-button-response,64,121474,0.0-21.0,H_a97w8r2xm921u6y,1142.5949999829754,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ;padding: 10px""><p>The sequence will begin on the next screen.</p><p>This is a practice trial. Lets see how focused you are.</p><p>Remember: press the M key if a letter appears on simultaneous screens.</p></div>",0,,,,,,,,,,,,,
,html-keyboard-response,65,124060,0.0-22.0-0.0,H_a97w8r2xm921u6y,,"<div style = ""centre"" ><span style=""font-size: 96px;"">N</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],false
,html-keyboard-response,66,126182,0.0-22.0-0.1,H_a97w8r2xm921u6y,709.1650000074878,"<div style = ""centre"" ><span style=""font-size: 96px;"">N</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,67,128321,0.0-22.0-0.2,H_a97w8r2xm921u6y,,"<div style = ""centre"" ><span style=""font-size: 96px;"">C</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
