success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,49,112635,0.0-16.0-1.3,H_6yl0bbw8ezrr1uz,842.6549999858253,"<div style = ""margin-top:23px ; margin-left:485px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Blue</p>",arrowdown,,,,,,,,test trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,50,113412,0.0-16.0-0.4,H_6yl0bbw8ezrr1uz,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,51,114154,0.0-16.0-1.4,H_6yl0bbw8ezrr1uz,741.0849999869242,"<div style = ""margin-top:-293px ; margin-left:-52px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Red</p>",arrowright,,,,,,,,test trial,Incon,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,52,115683,0.0-16.0-0.5,H_6yl0bbw8ezrr1uz,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,53,116541,0.0-16.0-1.5,H_6yl0bbw8ezrr1uz,856.8749999976717,"<div style = ""margin-top:247px ; margin-left:-643px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Red</p>",arrowdown,,,,,,,,test trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,54,117041,0.0-16.0-0.6,H_6yl0bbw8ezrr1uz,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,55,117734,0.0-16.0-1.6,H_6yl0bbw8ezrr1uz,691.6300000157207,"<div style = ""margin-top:207px ; margin-left:52px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Blue</p>",arrowright,,,,,,,,test trial,Con,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,56,118496,0.0-16.0-0.7,H_6yl0bbw8ezrr1uz,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,57,119366,0.0-16.0-1.7,H_6yl0bbw8ezrr1uz,868.9449999947101,"<div style = ""margin-top:34px ; margin-left:780px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Green</p>",arrowdown,,,,,,,,test trial,Con,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,58,121144,0.0-16.0-0.8,H_6yl0bbw8ezrr1uz,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,59,121784,0.0-16.0-1.8,H_6yl0bbw8ezrr1uz,637.9699999815784,"<div style = ""margin-top:260px ; margin-left:-667px"" ><p class=""stimulus"" style=""color:rgb(255,0,0);font-size:70px;"">Blue</p>",arrowleft,,,,,,,,test trial,Incon,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,60,123473,0.0-17.0,H_6yl0bbw8ezrr1uz,1688.365000009071,"<div style=""width: 800px;""><p>Well done!!.</p> <p>Press any key to move to Task-2 ..</p></div>", ,,,,,,,,,,,,,
,html-button-response,61,125592,0.0-18.0,H_6yl0bbw8ezrr1uz,2117.4950000131503,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #fff1f1""><p style=""font-size:20px"">Welcome to the Task 2:</p><h1>Continuous Performance Task</h1>",0,,,,,,,,,,,,,
,html-button-response,62,126682,0.0-19.0,H_6yl0bbw8ezrr1uz,1088.8949999934994,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px""><p>This task will test your ability to hold information in short-term, temporary memory.</p><p>This is called working memory.</p></div>",0,,,,,,,,,,,,,
,html-button-response,63,127785,0.0-20.0,H_6yl0bbw8ezrr1uz,1101.0900000110269,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px"">
        	<ol>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You will see a sequence of letters presented one at a time. Your task is to determine if the letter on the screen is the same that appeared on the last screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">If the letter is a match <span style=""font-weight: bold;"">press the M key.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">For example, if you saw the sequence X, C, C, B, B, X you would press the M key when the second C appeared and similarly when the second B appeared on the screen.</li>
        	<li style=""text-align:left; padding:8px; font-size: 18px"">You do not need to press any key when there is not a match.</li>
        	</ol></div>",0,,,,,,,,,,,,,
,html-button-response,64,128920,0.0-21.0,H_6yl0bbw8ezrr1uz,1133.1000000354834,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ;padding: 10px""><p>The sequence will begin on the next screen.</p><p>This is a practice trial. Lets see how focused you are.</p><p>Remember: press the M key if a letter appears on simultaneous screens.</p></div>",0,,,,,,,,,,,,,
,html-keyboard-response,65,131505,0.0-22.0-0.0,H_6yl0bbw8ezrr1uz,,"<div style = ""centre"" ><span style=""font-size: 96px;"">V</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,66,133633,0.0-22.0-0.1,H_6yl0bbw8ezrr1uz,,"<div style = ""centre"" ><span style=""font-size: 96px;"">Z</span></div>",,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,67,135695,0.0-22.0-0.2,H_6yl0bbw8ezrr1uz,324.495000008028,"<div style = ""centre"" ><span style=""font-size: 96px;"">Z</span></div>",m,,,,,,,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
